时光机直播,#genre#
20231108,https://vdse.bdstatic.com//c2289af7749daef7a72ea754f33a3a06.mp4

🇨🇳码上央视,#genre#
CCTV-1综合,https://cntv.lat/tv?auth=202311030915&id=cctv1
CCTV-2财经,https://cntv.lat/tv?auth=202311030915&id=cctv2
CCTV-3综艺,https://cntv.lat/tv?auth=202311030915&id=cctv3
CCTV-4中文国际,https://cntv.lat/tv?auth=202311030915&id=cctv4
CCTV-5体育,https://cntv.lat/tv?auth=202311030915&id=cctv5
CCTV-5+体育赛事,https://cntv.lat/tv?auth=202311030915&id=cctv5p
CCTV-6电影,https://cntv.lat/tv?auth=202311030915&id=cctv6
CCTV-7国防军事,https://cntv.lat/tv?auth=202311030915&id=cctv7
CCTV-8电视剧,https://cntv.lat/tv?auth=202311030915&id=cctv8
CCTV-9纪录,https://cntv.lat/tv?auth=202311030915&id=cctv9
CCTV-10科教,https://cntv.lat/tv?auth=202311030915&id=cctv10
CCTV-11戏曲,https://cntv.lat/tv?auth=202311030915&id=cctv11
CCTV-12社会与法,https://cntv.lat/tv?auth=202311030915&id=cctv12
CCTV-13新闻,https://cntv.lat/tv?auth=202311030915&id=cctv13
CCTV-14少儿,https://cntv.lat/tv?auth=202311030915&id=cctv14
CCTV-15音乐,https://cntv.lat/tv?auth=202311030915&id=cctv15
CCTV-16奥林匹克,https://cntv.lat/tv?auth=202311030915&id=cctv16
CCTV-17农业农村,https://cntv.lat/tv?auth=202311030915&id=cctv17
CCTV-4K超高清,https://cntv.lat/tv?auth=202311030915&id=cctv4k
CCTV-164K,https://cntv.lat/tv?auth=202311030915&id=cctv164k

🇨🇳码上卫视,#genre#
北京卫视,https://cntv.lat/tv?auth=202311030915&id=bjws
东方卫视,https://cntv.lat/tv?auth=202311030915&id=dfws
天津卫视,https://cntv.lat/tv?auth=202311030915&id=tjws
重庆卫视,https://cntv.lat/tv?auth=202311030915&id=cqws
黑龙江卫视,https://cntv.lat/tv?auth=202311030915&id=hljws
吉林卫视,https://cntv.lat/tv?auth=202311030915&id=jlws
辽宁卫视,https://cntv.lat/tv?auth=202311030915&id=lnws
内蒙古卫视,https://cntv.lat/tv?auth=202311030915&id=nmws
宁夏卫视,https://cntv.lat/tv?auth=202311030915&id=nxws
甘肃卫视,https://cntv.lat/tv?auth=202311030915&id=gsws
青海卫视,https://cntv.lat/tv?auth=202311030915&id=qhws
陕西卫视,https://cntv.lat/tv?auth=202311030915&id=sxws
河北卫视,https://cntv.lat/tv?auth=202311030915&id=hbws
山西卫视,https://cntv.lat/tv?auth=202311030915&id=sxiws
山东卫视,https://cntv.lat/tv?auth=202311030915&id=sdws
安徽卫视,https://cntv.lat/tv?auth=202311030915&id=ahws
河南卫视,https://cntv.lat/tv?auth=202311030915&id=hnws
湖北卫视,https://cntv.lat/tv?auth=202311030915&id=hubws
湖南卫视,https://cntv.lat/tv?auth=202311030915&id=hunws
江西卫视,https://cntv.lat/tv?auth=202311030915&id=jxws
江苏卫视,https://cntv.lat/tv?auth=202311030915&id=jsws
浙江卫视,https://cntv.lat/tv?auth=202311030915&id=zjws
东南卫视,https://cntv.lat/tv?auth=202311030915&id=dnws
海峡卫视,https://cntv.lat/tv?auth=202311030915&id=hxws
厦门卫视,https://cntv.lat/tv?auth=202311030915&id=xmws
广东卫视,https://cntv.lat/tv?auth=202311030915&id=gdws
深圳卫视,https://cntv.lat/tv?auth=202311030915&id=szws
广西卫视,https://cntv.lat/tv?auth=202311030915&id=gxws
云南卫视,https://cntv.lat/tv?auth=202311030915&id=ynws
贵州卫视,https://cntv.lat/tv?auth=202311030915&id=gzws
四川卫视,https://cntv.lat/tv?auth=202311030915&id=scws
康巴卫视,https://cntv.lat/tv?auth=202311030915&id=kbws
海南卫视,https://cntv.lat/tv?auth=202311030915&id=hinws
三沙卫视,https://cntv.lat/tv?auth=202311030915&id=ssws
新疆卫视,https://cntv.lat/tv?auth=202311030915&id=xjws
兵团卫视,https://cntv.lat/tv?auth=202311030915&id=btws
西藏卫视,https://cntv.lat/tv?auth=202311030915&id=xzws
西藏藏语卫视,https://cntv.lat/tv?auth=202311030915&id=xzzyws
CETV1,https://cntv.lat/tv?auth=202311030915&id=cetv1
CETV2,https://cntv.lat/tv?auth=202311030915&id=cetv2
CETV4,https://cntv.lat/tv?auth=202311030915&id=cetv4

🇨🇳码上数字,#genre#
北京纪实科教,https://cntv.lat/tv?auth=202311030915&id=bjjskj
纪实人文,https://cntv.lat/tv?auth=202311030915&id=shjsrw
动漫秀场,https://cntv.lat/tv?auth=202311030915&id=dmxc
哈哈炫动,https://cntv.lat/tv?auth=202311030915&id=hhxd
欢笑剧场,https://cntv.lat/tv?auth=202311030915&id=hxjc
欢笑剧场4K,https://cntv.lat/tv?auth=202311030915&id=hxjc4k
都市剧场,https://cntv.lat/tv?auth=202311030915&id=dsjc
五星体育,https://cntv.lat/tv?auth=202311030915&id=wxty
劲爆体育,https://cntv.lat/tv?auth=202311030915&id=jbty
新视觉,https://cntv.lat/tv?auth=202311030915&id=xsj
游戏风云,https://cntv.lat/tv?auth=202311030915&id=yxfy
生活时尚,https://cntv.lat/tv?auth=202311030915&id=shss
金色学堂,https://cntv.lat/tv?auth=202311030915&id=jspd
乐游,https://cntv.lat/tv?auth=202311030915&id=qjs
魅力足球,https://cntv.lat/tv?auth=202311030915&id=mlzq
茶频道,https://cntv.lat/tv?auth=202311030915&id=cpd
快乐垂钓,https://cntv.lat/tv?auth=202311030915&id=klcd
金鹰纪实,https://cntv.lat/tv?auth=202311030915&id=jyjs
金鹰卡通,https://cntv.lat/tv?auth=202311030915&id=jykt
嘉佳卡通,https://cntv.lat/tv?auth=202311030915&id=jjkt
财富天下,https://cntv.lat/tv?auth=202311030915&id=cftx
