时光机直播,#genre#
20231110,https://vdse.bdstatic.com//c2289af7749daef7a72ea754f33a3a06.mp4

🇨🇳码上央视,#genre#
CCTV-1综合,http://cntv.lat/tv/live.php?auth=231110&id=cctv1HD
CCTV-2财经,http://cntv.lat/tv/live.php?auth=231110&id=cctv2HD
CCTV-3综艺,http://cntv.lat/tv/live.php?auth=231110&id=cctv3HD
CCTV-4中文国际,http://cntv.lat/tv/live.php?auth=231110&id=cctv4HD
CCTV-5体育,http://cntv.lat/tv/live.php?auth=231110&id=cctv5HD
CCTV-5+体育赛事,http://cntv.lat/tv/live.php?auth=231110&id=cctv5SportHD
CCTV-6电影,http://cntv.lat/tv/live.php?auth=231110&id=cctv6HD
CCTV-7国防军事,http://cntv.lat/tv/live.php?auth=231110&id=cctv7HD
CCTV-8电视剧,http://cntv.lat/tv/live.php?auth=231110&id=cctv8HD
CCTV-9纪录,http://cntv.lat/tv/live.php?auth=231110&id=cctv9HD
CCTV-10科教,http://cntv.lat/tv/live.php?auth=231110&id=cctv10HD
CCTV-11戏曲,http://cntv.lat/tv/live.php?auth=231110&id=cctv11HD
CCTV-12社会与法,http://cntv.lat/tv/live.php?auth=231110&id=cctv12HD
CCTV-13新闻,http://cntv.lat/tv/live.php?auth=231110&id=CCTVNewsHD
CCTV-14少儿,http://cntv.lat/tv/live.php?auth=231110&id=cctvseHD
CCTV-15音乐,http://cntv.lat/tv/live.php?auth=231110&id=cctv15HD
CCTV-16奥林匹克,http://cntv.lat/tv/live.php?auth=231110&id=cctv16HD
CCTV-17农业农村,http://cntv.lat/tv/live.php?auth=231110&id=cctv17HD
CCTV-4K超高清,http://cntv.lat/tv/live.php?auth=231110&id=CCTV4K
CCTV-164K,http://cntv.lat/tv/live.php?auth=231110&id=CCTV16_4K
CHC动作电影,http://cntv.lat/tv/live.php?auth=231110&id=chcdzdyHD
CHC家庭影院,http://cntv.lat/tv/live.php?auth=231110&id=chcjtyyHD
CHC高清电影,http://cntv.lat/tv/live.php?auth=231110&id=chcgqdyHD
女性时尚,http://cntv.lat/tv/live.php?auth=231110&id=nvxing

🇨🇳码上卫视,#genre#
江苏卫视,http://cntv.lat/tv/live.php?auth=231110&id=jiangsuHD
北京卫视,http://cntv.lat/tv/live.php?auth=231110&id=beijingHD
浙江卫视,http://cntv.lat/tv/live.php?auth=231110&id=zhejiangHD
东方卫视,http://cntv.lat/tv/live.php?auth=231110&id=shanghaiHD
深圳卫视,http://cntv.lat/tv/live.php?auth=231110&id=shenzhenHD
辽宁卫视,http://cntv.lat/tv/live.php?auth=231110&id=liaoningHD
天津卫视,http://cntv.lat/tv/live.php?auth=231110&id=tianjinHD
贵州卫视,http://cntv.lat/tv/live.php?auth=231110&id=guizhouHD
四川卫视,http://cntv.lat/tv/live.php?auth=231110&id=sichuanHD
重庆卫视,http://cntv.lat/tv/live.php?auth=231110&id=chongqingHD
云南卫视,http://cntv.lat/tv/live.php?auth=231110&id=yunnanSD
东南卫视,http://cntv.lat/tv/live.php?auth=231110&id=dongnanHD
黑龙江卫视,http://cntv.lat/tv/live.php?auth=231110&id=heilongjiangHD
安徽卫视,http://cntv.lat/tv/live.php?auth=231110&id=anhuiSD
河北卫视,http://cntv.lat/tv/live.php?auth=231110&id=hebeiSD
江西卫视,http://cntv.lat/tv/live.php?auth=231110&id=jiangxiHD
湖北卫视,http://cntv.lat/tv/live.php?auth=231110&id=hubeiSD
海南卫视,http://cntv.lat/tv/live.php?auth=231110&id=hainanSD
吉林卫视,http://cntv.lat/tv/live.php?auth=231110&id=jilinHD
广西卫视,http://cntv.lat/tv/live.php?auth=231110&id=guangxiHD
内蒙古卫视,http://cntv.lat/tv/live.php?auth=231110&id=neimengkuSD
湖南卫视,http://cntv.lat/tv/live.php?auth=231110&id=hunanHD
广东卫视,http://cntv.lat/tv/live.php?auth=231110&id=guangdongHD
河南卫视,http://cntv.lat/tv/live.php?auth=231110&id=henanHD
山西卫视,http://cntv.lat/tv/live.php?auth=231110&id=shanxiSD
兵团卫视,http://cntv.lat/tv/live.php?auth=231110&id=bingtuanSD
宁夏卫视,http://cntv.lat/tv/live.php?auth=231110&id=ningxia
卡酷少儿,http://cntv.lat/tv/live.php?auth=231110&id=bjkakuSD
金鹰卡通,http://cntv.lat/tv/live.php?auth=231110&id=jinyingSD
三沙卫视,http://cntv.lat/tv/live.php?auth=231110&id=sanshaSD
青海卫视,http://cntv.lat/tv/live.php?auth=231110&id=qinghaiSD
新疆卫视,http://cntv.lat/tv/live.php?auth=231110&id=xinjiangSD
西藏卫视,http://cntv.lat/tv/live.php?auth=231110&id=xizangSD
中国天气,http://cntv.lat/tv/live.php?auth=231110&id=tianqiSD
北京纪实科教,http://cntv.lat/tv/live.php?auth=231110&id=bjayjsSD
山东教育卫视,http://cntv.lat/tv/live.php?auth=231110&id=sdjiaoyuSD
CETV-1,http://cntv.lat/tv/live.php?auth=231110&id=cetv-1SD
CETV-4,http://cntv.lat/tv/live.php?auth=231110&id=cetv-4SD

🇨🇳码上其他,#genre#
欢笑剧场4K,http://cntv.lat/tv/live.php?auth=231110&id=hxjc_4K
生活时尚,http://cntv.lat/tv/live.php?auth=231110&id=shenghuo
百姓健康,http://cntv.lat/tv/live.php?auth=231110&id=jiankangSD
快乐垂钓,http://cntv.lat/tv/live.php?auth=231110&id=klcdHD
第一剧场,http://cntv.lat/tv/live.php?auth=231110&id=diyijuchangHD
都市剧场,http://cntv.lat/tv/live.php?auth=231110&id=dsjcHD
动漫秀场,http://cntv.lat/tv/live.php?auth=231110&id=dmxcHD
魅力足球,http://cntv.lat/tv/live.php?auth=231110&id=mlzqHD
风云剧场,http://cntv.lat/tv/live.php?auth=231110&id=fyjcHD
求索纪录,http://cntv.lat/tv/live.php?auth=231110&id=qsjlHD
兵器科技,http://cntv.lat/tv/live.php?auth=231110&id=bqkjHD
游戏风云,http://cntv.lat/tv/live.php?auth=231110&id=yxfyHD
怀旧剧场,http://cntv.lat/tv/live.php?auth=231110&id=hjjcHD
风云音乐,http://cntv.lat/tv/live.php?auth=231110&id=fyyyHD
央视台球,http://cntv.lat/tv/live.php?auth=231110&id=ystqHD
风云足球,http://cntv.lat/tv/live.php?auth=231110&id=fyzqHD
央视文化精品,http://cntv.lat/tv/live.php?auth=231110&id=yswhHD
高尔夫网球,http://cntv.lat/tv/live.php?auth=231110&id=golfHD
早期教育,http://cntv.lat/tv/live.php?auth=231110&id=zaojiaoHD
东方财经,http://cntv.lat/tv/live.php?auth=231110&id=dfcj
证券服务,http://cntv.lat/tv/live.php?auth=231110&id=jiazheng
书画,http://cntv.lat/tv/live.php?auth=231110&id=shuhua
新动漫,http://cntv.lat/tv/live.php?auth=231110&id=dongman
国学频道,http://cntv.lat/tv/live.php?auth=231110&id=guoxue
优优宝贝,http://cntv.lat/tv/live.php?auth=231110&id=youxi
中华特产,http://cntv.lat/tv/live.php?auth=231110&id=techan
环球奇观,http://cntv.lat/tv/live.php?auth=231110&id=car
生态环境,http://cntv.lat/tv/live.php?auth=231110&id=shengtai
四海钓鱼,http://cntv.lat/tv/live.php?auth=231110&id=diaoyu
车迷,http://cntv.lat/tv/live.php?auth=231110&id=doxtv
法治天地,http://cntv.lat/tv/live.php?auth=231110&id=fazhi
金色学堂,http://cntv.lat/tv/live.php?auth=231110&id=jinse
收藏天下,http://cntv.lat/tv/live.php?auth=231110&id=soucang
财富天下,http://cntv.lat/tv/live.php?auth=231110&id=caifu
天元围棋,http://cntv.lat/tv/live.php?auth=231110&id=weiqi
先锋乒羽,http://cntv.lat/tv/live.php?auth=231110&id=xianfeng
环球旅游,http://cntv.lat/tv/live.php?auth=231110&id=huanqiulvyou
摄影频道,http://cntv.lat/tv/live.php?auth=231110&id=sheying
发现之旅,http://cntv.lat/tv/live.php?auth=231110&id=faxian
中学生,http://cntv.lat/tv/live.php?auth=231110&id=qicai
老故事,http://cntv.lat/tv/live.php?auth=231110&id=gushi

🇨🇳码上购物,#genre#
优购物,http://cntv.lat/tv/live.php?auth=231110&id=yougouwu
风尚购物,http://cntv.lat/tv/live.php?auth=231110&id=fsgw
聚鲨环球精选,http://cntv.lat/tv/live.php?auth=231110&id=jusha
中视购物,http://cntv.lat/tv/live.php?auth=231110&id=ysgw
家有购物,http://cntv.lat/tv/live.php?auth=231110&id=jygw
央广购物,http://cntv.lat/tv/live.php?auth=231110&id=yggw

🇨🇳码上地方,#genre#
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙古新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
重庆新闻,http://cntv.lat/tv/live.php?auth=231110&id=CQTVNewsHD
重庆影视,http://cntv.lat/tv/live.php?auth=231110&id=cqyingshiHD
重庆社会与法,http://cntv.lat/tv/live.php?auth=231110&id=CQTVTrendyHD
重庆时尚生活,http://cntv.lat/tv/live.php?auth=231110&id=cqssgwHD
重庆文体娱乐,http://cntv.lat/tv/live.php?auth=231110&id=cqwtylHD
重庆新农村,http://cntv.lat/tv/live.php?auth=231110&id=cqggncHD
重庆少儿,http://cntv.lat/tv/live.php?auth=231110&id=cqseHD
重庆科教,http://cntv.lat/tv/live.php?auth=231110&id=CQTVkejiaoHD
爱看导视,http://cntv.lat/tv/live.php?auth=231110&id=aikanHD
重庆汽摩,http://cntv.lat/tv/live.php?auth=231110&id=cqcarSD
重庆移动,http://cntv.lat/tv/live.php?auth=231110&id=mryyHD
重广融媒,http://cntv.lat/tv/live.php?auth=231110&id=cqrongmei

🇨🇳码上港澳,#genre#
凤凰中文,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8
凤凰资讯,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
翡翠台,https://pi.0472.org/tv/fct.php?auth=231110
明珠台,https://pi.0472.org/tv/mzt.php?auth=231110
澳视澳门,https://pi.0472.org/tv/asam.php?auth=231110
星空卫视,https://pi.0472.org/tv/startv.php?auth=231110
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=231110
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
莲花卫视,https://cntv.lat/tv/lhws.php
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8

🇨🇳码上国际,#genre#
CGTN,http://cntv.lat/tv/live.php?auth=231110&id=cgtnSD
CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
NHKWORLD,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
半岛英语,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛阿语,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
THAIPBS3,http://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
LOVENATURE4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
FASHIONTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
FASHIONTV4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
金砖电视,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
亚洲新闻720P,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻1080P,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8

🇨🇳码上测试,#genre#
韩·BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
韩·SBS,http://1.245.74.5:1935/live/tv/.m3u8
韩·阿里郎KOREA,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩·JOBPLUSTV,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
韩·GSMYSHOP,https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8
韩·KOREATV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
韩·TBS,https://cdntv.tbs.seoul.kr/tbs/_definst_/tbs_tv_web_720.smil/playlist.m3u8
韩·KBSWORLD,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
韩·EBS1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩·EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩·EBSE,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
韩·NBS,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
俄·IGITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
俄·RBC,http://92.50.128.180/utv/1358/index.m3u8
美·NASA1,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
美·NASA2,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
美·红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
