时光机直播,#genre#
20231113,https://vdse.bdstatic.com//c2289af7749daef7a72ea754f33a3a06.mp4

🇨🇳码上UNDEFINED,#genre#
8TV(720P)[GEO-BLOCKED],https://live-streams-ssai-01.tonton.com.my/live/a884c33b-6b11-4433-8bf9-a8899939e224/live.isml/.m3u8
BEAUTIFULLIFETV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
CCTV-4K超高清,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV-5+(1080P),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-7(1080P),http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8(1080P),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-11戏曲(1080P),http://183.196.25.171:808/hls/11/index.m3u8
CCTV-12社会与法制(1080P),http://183.196.25.171:808/hls/12/index.m3u8
CCTV-14(1080P),http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-17农业农村(1080P),http://183.196.25.171:808/hls/93/index.m3u8
CETV1(576P),http://183.207.248.71/gitv/live1/G_CETV-1/G_CETV-1
CETV2(576P),http://183.207.248.71/gitv/live1/G_CETV-2/G_CETV-2
CHANNEL8[GEO-BLOCKED],https://d34e90s3s13i7n.cloudfront.net/hls/clr4ctv_ch8/master.m3u8
DAAITV(720P),https://dacastmmd.mmdlive.lldns.net/dacastmmd/683cc426c19442a4ba31c53be5c963bb/index.m3u8
DRAGONTVINTERNATIONAL(360P),http://210.210.155.37/x6bnqe/s/s29/index.m3u8
GEM(576P),http://210.210.155.37/uq2663/h/h19/index.m3u8
GOODTVCH1綜合台(720P)[NOT24/7],https://live.streamingfast.net/osmflivech1.m3u8
GOODTVCH2真理台(720P),https://live.streamingfast.net/osmflivech2.m3u8
HKIBC,https://uc6.i-cable.com/live_freedirect/opentvhd002_h.live/playlist.m3u8
INDIGENOUSTV(720P),http://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8
LUXETV(1080P),https://alchimie-luxe-fr-rakuten.amagi.tv/playlist.m3u8
NTD,http://5.152.223.78/tsstreamer/NTD_SD.ts
NTDTV(NEWTANGDYNASTYTELEVISION),http://cnhls.ntdtv.com/cn/live400/playlist.m3u8
OU-MUNMACAUSATELLITECH.96(720P),https://live3.tdm.com.mo/ch3/ch3.live/playlist.m3u8
RTHK(港台電視31)(1080P),https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
RTHK(港台電視32)(1080P),https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
RTHKTV33(港台電視33)(720P),https://live.astradamy.com/hk33/index.m3u8
TDMINFO.MACAU(720P)[NOT24/7],https://live3.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
TDMOUMUNMACAUCH.91(720P),http://61.244.22.4/ch1/ch1.live/playlist.m3u8
TECHSTORM(720P)[GEO-BLOCKED],https://cdn-telkomsel-01.akamaized.net/Content/HLS/Live/channel(abe4ead2-1a88-4330-9f41-382fcf94bba2)/index.m3u8
TVBJ2,https://j3.lhlh.app/mv.m3u8
TVBSASIA(1080P),http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVS2(576P),http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
VIUTVSIX,http://61.238.6.49:8000/bysid/96
XINGKONGINTERNATIONAL(360P),http://210.210.155.37/x6bnqe/s/s94/index2.m3u8
ZHEJIANGTVINTERNATIONAL,https://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
三立台灣(1080P),http://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664042391~exp=9007200918783382~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=29538a1877a3c3728afe61bcd55b5a7b98f517bb3e2c75f8433b9338fda5b3e3
三立都會(1080P),https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
东方卫视(1080P),http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
台视(720P),http://162.19.247.76:22222/live/taishi/index.m3u8
和政电视台,http://117.156.28.119/270000001111/1110000149/index.m3u8
四川卫视(576P),http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
